Date,Bar Name,Brand Name,Demand (ml),Forecast (ml),Par Level (ml),Closing Inventory (ml),Order Quantity (ml),Lost Demand (ml),Stockout Day
2023-11-11,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-12,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-13,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-14,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-15,Anderson's Bar,Budweiser,0.0,76.47375,450,450.0,0.0,0.0,False
2023-11-16,Anderson's Bar,Budweiser,0.0,20.21,330,450.0,0.0,0.0,False
2023-11-17,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-18,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-19,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-20,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-21,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-22,Anderson's Bar,Budweiser,0.0,18.19375,330,450.0,0.0,0.0,False
2023-11-23,Anderson's Bar,Budweiser,0.0,20.21,330,450.0,0.0,0.0,False
2023-11-24,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-25,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-26,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-27,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-28,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-29,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-30,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-01,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-02,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-03,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-04,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-05,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-06,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-07,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-08,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-09,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-10,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-11,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-12,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-13,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-14,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-15,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-16,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-17,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-18,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-19,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-20,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-21,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-22,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-12-23,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
